"site_code";"siteid";"assetnum";"asset_group";"asset_desc";"machine_loading";"part_num";"oper_num";"asset_net_avail_time";"ideal_cycle_time";"fw";"fy";"fiscal_wk_begin";"fiscal_wk_end";"qty_claimed";"qty_noncf";"down_time_min"
"GNV";"GNSC";"GN172266";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;0
"GNV";"GNSC";"GN172266";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";572;6;0
"GNV";"GNSC";"GN174138";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";572;6;0
"GNV";"GNSC";"GN174138";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;0
"GNV";"GNSC";"GN171713";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";572;6;0
"GNV";"GNSC";"GN171713";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;0
"GNV";"GNSC";"GN171713";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";1032;6;0
"GNV";"GNSC";"GN171017";"M96 Grind";"WASTE WATER  SUMP ( waterflow sink GN172301)";1;"2100M96P05";"150";6120;5;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";5908;8;0
"GNV";"GNSC";"GN171017";"M96 Grind";"WASTE WATER  SUMP ( waterflow sink GN172301)";1;"2100M96P05";"150";6120;5;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";10160;4;0
"GNV";"GNSC";"GN174134";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";572;6;0
"GNV";"GNSC";"GN174134";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;0
"GNV";"GNSC";"GN174134";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";1032;6;0
"GNV";"GNSC";"GN171715";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";572;6;0
"GNV";"GNSC";"GN171715";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;0
"GNV";"GNSC";"GN171715";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";1032;6;0
"GNV";"GNSC";"GN171052";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;48;2016;"2016-11-28 00:00:00";"2016-12-04 00:00:00";1032;6;0
"GNV";"GNSC";"GN171052";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P09";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";136;0;0
"GNV";"GNSC";"GN171052";"GENx EDM - OP50";"Current EDM CT500F";0.029411765;"2383M53P08";"50";6120;90;16;2016;"2016-04-18 00:00:00";"2016-04-24 00:00:00";572;6;0
